Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;2;0.8;0;0;0;0,2,40000000,3.0935,0.104783,0.0109116
10000000,AceHash;2;0.8;0;0;0;0,3,40000000,3.08969,0.104783,0.0108884
10000000,AceHash;2;0.8;0;0;0;0,4,40000000,3.09725,0.104959,0.0108898
10000000,AceHash;2;0.8;1;0;0;0,0,40000000,1.24551,0.104572,0.0105994
10000000,AceHash;2;0.8;1;0;0;0,1,40000000,1.24449,0.10459,0.0106526
10000000,AceHash;2;0.8;1;0;0;0,2,40000000,1.24491,0.104707,0.0106383
10000000,AceHash;2;0.8;1;0;0;0,3,40000000,1.24417,0.104646,0.0106283
10000000,AceHash;2;0.8;1;0;0;0,4,40000000,1.24538,0.104596,0.0106155
10000000,AceHash;2;0.8;1;1;0;0,0,40000000,0.679038,0.118146,0.0119934
10000000,AceHash;2;0.8;1;1;0;0,1,40000000,0.680081,0.117797,0.0119759
10000000,AceHash;2;0.8;1;1;0;0,2,40000000,0.679703,0.117751,0.0119764
10000000,AceHash;2;0.8;1;1;0;0,3,40000000,0.679146,0.117756,0.0119399
10000000,AceHash;2;0.8;1;1;0;0,4,40000000,0.680006,0.117646,0.0119599
10000000,AceHash;2;0.8;1;1;1;0,0,40000000,0.679445,0.0813538,0.00821623
10000000,AceHash;2;0.8;1;1;1;0,1,40000000,0.679691,0.0813766,0.00827466
10000000,AceHash;2;0.8;1;1;1;0,2,40000000,0.680456,0.0817961,0.00823938
10000000,AceHash;2;0.8;1;1;1;0,3,40000000,0.68132,0.0819187,0.0082243
10000000,AceHash;2;0.8;1;1;1;0,4,40000000,0.679942,0.0818454,0.00821692
10000000,AceHash;2;0.8;1;1;1;1,0,40000000,0.152575,0.0817161,0.00829172
10000000,AceHash;2;0.8;1;1;1;1,1,40000000,0.152078,0.0817368,0.00824104
10000000,AceHash;2;0.8;1;1;1;1,2,40000000,0.152508,0.081716,0.00823616
10000000,AceHash;2;0.8;1;1;1;1,3,40000072,0.152628,0.0810224,0.00822123
10000000,AceHash;2;0.8;1;1;1;1,4,40000000,0.152158,0.081813,0.0082509
10000000,AceHash;2;0.85;0;0;0;0,0,40000000,3.18586,0.105662,0.0108916
10000000,AceHash;2;0.85;0;0;0;0,1,40000000,3.18313,0.10498,0.0109018
10000000,AceHash;2;0.85;0;0;0;0,2,40000000,3.18398,0.104778,0.0108735
10000000,AceHash;2;0.85;0;0;0;0,3,40000000,3.18677,0.104863,0.0108586
